arm,seed,iteration,opponents,games_per_opponent,games_total,win_rate_pct,win_rate_95ci_low,win_rate_95ci_high
shared_start,-,0,12,300,3600,45.81,44.28,47.35
without_detector,s0,100,12,300,3600,52.32,50.79,53.84
without_detector,s1,100,12,300,3600,50.48,48.96,51.99
without_detector,s2,100,12,300,3600,52.74,51.21,54.27
with_detector,s0,100,12,300,3600,50.16,48.64,51.68
with_detector,s1,100,12,300,3600,53.48,51.95,55.01
with_detector,s2,100,12,300,3600,52.25,50.72,53.78
without_detector,s0,200,12,300,3600,51.92,50.39,53.45
without_detector,s1,200,12,300,3600,52.81,51.28,54.34
without_detector,s2,200,12,300,3600,53.48,51.96,55.0
with_detector,s0,200,12,300,3600,52.77,51.24,54.3
with_detector,s1,200,12,300,3600,55.3,53.77,56.84
with_detector,s2,200,12,300,3600,52.45,50.92,53.98
without_detector,s0,300,12,300,3600,54.24,52.72,55.76
without_detector,s1,300,12,300,3600,52.94,51.4,54.49
without_detector,s2,300,12,300,3600,53.67,52.14,55.19
with_detector,s0,300,12,300,3600,55.28,53.76,56.8
with_detector,s1,300,12,300,3600,55.08,53.56,56.6
with_detector,s2,300,12,300,3600,54.77,53.24,56.3
