opponent_deck,generalist_games,generalist_wins,generalist_losses,generalist_undecided,generalist_win_rate_pct,assigned_slot,assigned_policy,assigned_games,assigned_wins,assigned_losses,assigned_undecided,assigned_win_rate_pct,assigned_win_rate_95ci_low,assigned_win_rate_95ci_high
Alakazam,1000,482,518,0,48.2,d,specialist: Alakazam,1000,563,437,0,56.3,53.2,59.3
Dragapult ex,1000,256,744,0,25.6,c,specialist: Dragapult ex,1000,565,435,0,56.5,53.4,59.5
Archaludon ex,1000,305,695,0,30.5,b,specialist: Mega Lopunny ex / Mega Starmie ex / Archaludon ex,1000,427,573,0,42.7,39.7,45.8
Mega Starmie ex,1000,358,642,0,35.8,b,specialist: Mega Lopunny ex / Mega Starmie ex / Archaludon ex,1000,549,451,0,54.9,51.8,58.0
Marnie's Grimmsnarl ex,1000,718,281,1,71.9,f,specialist: Marnie's Grimmsnarl ex,1000,711,287,2,71.2,68.4,74.0
Hydrapple ex,1000,442,558,0,44.2,e,specialist: Hydrapple ex,1000,601,399,0,60.1,57.0,63.1
Crustle,1000,254,740,6,25.6,g,specialist: Crustle,1000,678,315,7,68.3,65.3,71.1
Mega Lucario ex,1000,464,535,1,46.4,h,specialist: Mega Lucario ex,1000,612,387,1,61.3,58.2,64.2
Mega Lopunny ex,1000,351,648,1,35.1,b,specialist: Mega Lopunny ex / Mega Starmie ex / Archaludon ex,1000,716,284,0,71.6,68.7,74.3
Team Rocket's Mewtwo ex,1000,716,284,0,71.6,a,generalist,1000,716,284,0,71.6,68.7,74.3
Slowking,1000,803,197,0,80.3,a,generalist,1000,803,197,0,80.3,77.7,82.6
Teal Mask Ogerpon ex,1000,719,281,0,71.9,a,generalist,1000,719,281,0,71.9,69.0,74.6
